,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,actors,pings,num_workers,block_size,max_edge_weight,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,eating_rounds,philosophers,workers,data_length,block_threshold,priorities,precision,messages,pieces,left,right,terms,series,start_rate,accounts,transactions,data_size,max_value,seed,size,threshold,solution_limit,messages_per_worker,write_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,grid_size,size_percentage,columns,simulations,channels
0,Cigarette Smokers,lf-c,12,2,1000.0,200.0,NP,1.729,1.845,1.7325,1.74225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Thread Ring,lf-c,12,4,,,NP,81.652,82.382,81.7055,81.83383333333335,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,All-Pairs Shortest Path,lf-c,12,9,,,GEDF_NP,143.863,152.162,146.1855,146.92566666666667,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,All-Pairs Shortest Path,lf-c,12,4,,,adaptive,137.66,140.423,138.09050000000002,138.53625000000002,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cigarette Smokers,lf-c,12,2,1000.0,200.0,GEDF_NP,1.844,2.154,1.851,1.9039166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chameneos,lf-c,12,2,,,GEDF_NP,262.288,271.519,266.192,266.65591666666666,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Producer Consumer (bounded),lf-c,12,2,,,NP,112.465,116.26,112.6755,113.07316666666667,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Philosophers,lf-c,12,4,,,adaptive,48.533,55.246,48.601,49.155,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Recursive Matrix Multiplication,lf-c,12,2,,,GEDF_NP,90.067,98.075,91.49199999999999,92.93975,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Precise Pi Computation,lf-c,12,4,,,GEDF_NP,71.768,72.621,72.28200000000001,72.22133333333333,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chameneos,lf-c,12,4,,,NP,241.711,253.739,250.809,249.80100000000004,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ping Pong,lf-c,12,2,,,NP,94.271,94.396,94.29599999999999,94.30516666666665,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Philosophers,lf-c,12,18,,,adaptive,48.48,5092.659,48.5595,730.05175,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Big,lf-c,12,2,,,adaptive,185.551,191.532,189.32049999999998,189.05858333333333,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,All-Pairs Shortest Path,lf-c,12,18,,,GEDF_NP,147.919,151.418,149.048,149.20566666666664,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Trapezoidal Approximation,lf-c,12,4,,,NP,68.523,71.472,68.762,69.13133333333334,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
16,Logistic Map Series,lf-c,12,4,,,GEDF_NP,517.921,595.321,550.1895,552.6448333333333,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
17,Recursive Matrix Multiplication,lf-c,12,4,,,GEDF_NP,89.473,97.156,92.626,92.74966666666666,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bank Transaction,lf-c,12,9,,,NP,94.608,98.624,95.689,96.09624999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
19,Counting Actor,lf-c,12,18,,,adaptive,248.722,249.288,248.776,248.84500000000003,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Radix Sort,lf-c,12,9,,,GEDF_NP,533.586,536.735,535.8325,535.7932500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
21,Cigarette Smokers,lf-c,12,18,1000.0,200.0,adaptive,2.01,2.149,2.0415,2.0441666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Precise Pi Computation,lf-c,12,4,,,NP,71.461,88.751,71.7405,73.19108333333334,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Thread Ring,lf-c,12,18,,,NP,81.737,82.202,81.7815,81.82133333333333,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Logistic Map Series,lf-c,12,2,,,adaptive,48.177,51.329,48.235,48.56283333333334,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
25,Producer Consumer (bounded),lf-c,12,18,,,GEDF_NP,119.246,123.119,120.4495,120.80641666666666,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chameneos,lf-c,12,18,,,GEDF_NP,349.633,375.046,366.254,364.75008333333335,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Producer Consumer (bounded),lf-c,12,4,,,adaptive,113.163,116.123,113.649,114.13633333333335,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NQueens first N solutions,lf-c,12,9,,,adaptive,243.699,248.313,245.115,245.44441666666668,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
29,Concurrent Dictionary,lf-c,12,4,,,adaptive,73.7,78.29,77.949,77.47716666666668,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
30,Sleeping Barber,lf-c,12,18,,,GEDF_NP,75.354,75.931,75.41,75.45975000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
31,Trapezoidal Approximation,lf-c,12,9,,,NP,68.848,69.602,69.054,69.092,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
32,Precise Pi Computation,lf-c,12,9,,,GEDF_NP,72.857,74.683,73.392,73.46633333333334,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A-Star Search,lf-c,12,9,,,adaptive,182.222,699.338,411.873,410.64099999999996,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
34,Counting Actor,lf-c,12,2,,,GEDF_NP,367.414,371.017,367.488,367.8164166666666,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sleeping Barber,lf-c,12,2,,,NP,74.369,74.771,74.45599999999999,74.48625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
36,Sleeping Barber,lf-c,12,4,,,NP,74.356,74.765,74.40350000000001,74.44233333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
37,Concurrent Sorted Linked List,lf-c,12,4,,,adaptive,190.757,226.82,192.6575,195.41025000000002,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
38,Counting Actor,lf-c,12,18,,,NP,241.975,242.873,242.03949999999998,242.1505,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
39,Logistic Map Series,lf-c,12,4,,,adaptive,45.885,56.261,45.942,46.848083333333335,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
40,Radix Sort,lf-c,12,2,,,adaptive,511.343,514.046,511.8415,512.0000833333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
41,Trapezoidal Approximation,lf-c,12,2,,,GEDF_NP,68.674,69.427,68.8055,68.9435,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
42,All-Pairs Shortest Path,lf-c,12,4,,,GEDF_NP,139.409,143.712,140.262,140.4523333333333,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Trapezoidal Approximation,lf-c,12,2,,,NP,68.731,69.452,69.013,69.02658333333333,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
44,Producer Consumer (bounded),lf-c,12,9,,,GEDF_NP,117.282,128.614,118.18299999999999,119.902,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,A-Star Search,lf-c,12,2,,,adaptive,135.276,486.864,437.939,393.53984615384616,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
46,Big,lf-c,12,9,,,NP,222.244,239.021,224.8725,226.09991666666667,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bank Transaction,lf-c,12,2,,,NP,94.056,99.058,95.2925,95.84525000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
48,Philosophers,lf-c,12,2,,,GEDF_NP,185.017,195.212,191.21800000000002,190.88875,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Cigarette Smokers,lf-c,12,4,1000.0,200.0,NP,1.729,1.761,1.738,1.7383333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Precise Pi Computation,lf-c,12,18,,,adaptive,88.062,93.331,89.913,89.88141666666667,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Filter Bank,lf-c,12,2,,,adaptive,195.058,197.888,195.1225,195.37466666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
52,Sleeping Barber,lf-c,12,18,,,NP,74.404,74.896,74.46799999999999,74.52483333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,
53,Logistic Map Series,lf-c,12,9,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
54,Chameneos,lf-c,12,9,,,NP,265.686,284.56,275.124,275.4806666666667,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,NQueens first N solutions,lf-c,12,2,,,adaptive,231.74,263.597,232.767,236.38558333333333,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
56,Big,lf-c,12,2,,,NP,188.829,193.114,190.8345,190.98074999999997,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,Big,lf-c,12,18,,,adaptive,309.712,319.492,313.6515,314.33433333333335,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,Precise Pi Computation,lf-c,12,2,,,NP,69.408,73.138,69.7575,70.02175000000001,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,All-Pairs Shortest Path,lf-c,12,2,,,NP,134.462,139.25,135.6995,136.02724999999998,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Precise Pi Computation,lf-c,12,2,,,GEDF_NP,69.889,70.574,70.15350000000001,70.20774999999999,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,NQueens first N solutions,lf-c,12,18,,,GEDF_NP,227.445,228.854,228.1175,228.14758333333336,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,
62,Thread Ring,lf-c,12,2,,,NP,80.565,80.747,80.59299999999999,80.61358333333332,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Philosophers,lf-c,12,4,,,NP,246.128,317.408,285.392,287.677,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Counting Actor,lf-c,12,4,,,NP,242.019,243.239,242.1605,242.22783333333336,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
65,Radix Sort,lf-c,12,18,,,adaptive,516.123,517.035,516.6465000000001,516.5966666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
66,Bank Transaction,lf-c,12,2,,,adaptive,108.956,145.841,141.83100000000002,137.09633333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
67,Ping Pong,lf-c,12,18,,,NP,94.282,94.923,94.324,94.41333333333334,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Trapezoidal Approximation,lf-c,12,18,,,GEDF_NP,68.974,70.181,69.4225,69.48875,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
69,Trapezoidal Approximation,lf-c,12,4,,,adaptive,68.635,69.276,69.0395,68.99508333333334,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
70,Recursive Matrix Multiplication,lf-c,12,4,,,NP,91.433,108.803,97.755,97.50916666666666,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Philosophers,lf-c,12,9,,,adaptive,48.209,1536.281,48.318,221.81816666666666,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Counting Actor,lf-c,12,18,,,GEDF_NP,367.958,371.549,368.061,368.6123333333333,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,Filter Bank,lf-c,12,18,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
74,A-Star Search,lf-c,12,9,,,NP,330.378,599.025,500.003,489.59346153846155,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
75,Chameneos,lf-c,12,2,,,NP,196.603,199.82,198.223,198.23483333333334,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Filter Bank,lf-c,12,9,,,adaptive,196.092,2230.584,196.1385,365.6790833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
77,Producer Consumer (bounded),lf-c,12,4,,,NP,113.295,117.987,113.776,114.18925000000002,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Cigarette Smokers,lf-c,12,9,1000.0,200.0,GEDF_NP,1.845,1.881,1.855,1.8554166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Philosophers,lf-c,12,2,,,adaptive,48.29,49.821,48.3365,48.45675000000001,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Big,lf-c,12,4,,,adaptive,206.897,213.173,210.02949999999998,210.02591666666663,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
81,Concurrent Sorted Linked List,lf-c,12,4,,,NP,205.11,223.526,218.161,215.41949999999997,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
82,Recursive Matrix Multiplication,lf-c,12,9,,,NP,91.902,100.658,97.2355,96.81208333333335,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bank Transaction,lf-c,12,9,,,GEDF_NP,96.307,100.155,98.0505,98.04433333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
84,Fork Join (throughput),lf-c,12,9,,,GEDF_NP,220.276,276.918,256.3165,255.86791666666667,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
85,Logistic Map Series,lf-c,12,9,,,GEDF_NP,670.763,781.845,743.3924999999999,732.8653333333332,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
