,benchmark,target,total_iterations,threads,actors,pings,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,num_workers,grid_size,priorities,threshold,messages,data_size,max_value,seed,workers,messages_per_worker,write_percentage,size_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,terms,series,start_rate,pieces,left,right,accounts,transactions,data_length,block_threshold,rounds,smokers,columns,simulations,channels,block_size,max_edge_weight,precision,size,solution_limit,eating_rounds,philosophers
0,Thread Ring,lf-cpp,12,6,100.0,1000000.0,master,[],default,187.982,199.227,192.983,193.20875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ping Pong,lf-cpp,12,3,,300000.0,master,[],default,134.134,146.346,134.9955,136.19283333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chameneos,lf-cpp,12,6,,,master,[],default,312.886,498.296,330.046,390.912,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Producer Consumer (bounded),lf-cpp,12,3,,,master,[],default,155.171,173.892,159.88,162.26274999999998,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A-Star Search,lf-cpp,12,24,,,master,[],default,114.868,514.574,404.6325,370.15858333333335,,,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chameneos,lf-cpp,12,3,,,master,[],default,342.441,548.705,363.889,422.9679166666667,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fork Join (throughput),lf-cpp,12,3,60.0,,master,[],default,55.2773,70.4673,62.3605,61.616083333333336,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Radix Sort,lf-cpp,12,3,,,master,[],default,411.467,431.066,422.508,421.3535833333333,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Concurrent Sorted Linked List,lf-cpp,12,3,,,master,[],default,221.77,248.479,232.523,233.46533333333332,,,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Concurrent Sorted Linked List,lf-cpp,12,6,,,master,[],default,217.554,237.181,224.9575,226.30466666666666,,,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Concurrent Sorted Linked List,lf-cpp,12,24,,,master,[],default,216.344,406.773,232.8855,246.86616666666666,,,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Big,lf-cpp,12,24,120.0,,master,[],default,190.051,277.261,197.641,211.18516666666665,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sleeping Barber,lf-cpp,12,6,,,master,[],default,190.762,222.005,196.1035,198.70574999999997,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
13,Thread Ring,lf-cpp,12,24,100.0,1000000.0,master,[],default,199.578,209.15,201.47199999999998,203.02441666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Logistic Map Series,lf-cpp,12,6,,,master,[],default,65.3411,79.0674,66.92895,67.82395833333332,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
15,Producer Consumer (bounded),lf-cpp,12,24,,,master,[],default,194.721,220.142,200.228,202.46450000000002,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Chameneos,lf-cpp,12,24,,,master,[],default,319.629,502.156,382.0145,402.82075000000003,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ping Pong,lf-cpp,12,24,,300000.0,master,[],default,157.913,175.934,161.16199999999998,163.56625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Trapezoidal Approximation,lf-cpp,12,24,,,master,[],default,74.8511,81.6333,77.5706,77.91234166666666,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
19,Bank Transaction,lf-cpp,12,24,,,master,[],default,177.187,193.411,186.71949999999998,185.7925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
20,Sleeping Barber,lf-cpp,12,24,,,master,[],default,188.172,200.612,192.948,193.44924999999998,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
21,Recursive Matrix Multiplication,lf-cpp,12,3,,,master,[],default,75.0236,79.8909,77.21785,77.55781666666667,,,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
22,Cigarette Smokers,lf-cpp,12,24,,,master,[],default,9.2664,10.353,9.5369,9.665725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
23,Trapezoidal Approximation,lf-cpp,12,6,,,master,[],default,75.7271,84.4997,78.4523,79.12106666666666,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
24,Thread Ring,lf-cpp,12,3,100.0,1000000.0,master,[],default,185.818,199.306,189.15550000000002,189.99291666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Filter Bank,lf-cpp,12,3,,,master,[],default,632.63,731.736,662.3085000000001,665.8193333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
26,All-Pairs Shortest Path,lf-cpp,12,3,,,master,[],default,280.134,321.435,291.5185,291.4815,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
27,Cigarette Smokers,lf-cpp,12,6,,,master,[],default,9.0777,13.0969,9.4579,10.189033333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
28,All-Pairs Shortest Path,lf-cpp,12,24,,,master,[],default,355.49,410.774,372.56949999999995,375.59525,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
29,Precise Pi Computation,lf-cpp,12,24,,,master,[],default,111.664,130.515,119.441,119.51566666666668,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
30,Recursive Matrix Multiplication,lf-cpp,12,6,,,master,[],default,76.0978,83.3527,78.48320000000001,78.76499166666666,,,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
31,NQueens first N solutions,lf-cpp,12,24,,,master,[],default,411.319,438.164,424.8145,423.3576666666667,,,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
32,Filter Bank,lf-cpp,12,6,,,master,[],default,265.569,290.299,272.202,275.3835000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
33,A-Star Search,lf-cpp,12,3,,,master,[],default,156.312,523.707,314.3865,316.4871666666666,,,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A-Star Search,lf-cpp,12,6,,,master,[],default,265.137,650.784,362.53549999999996,380.45183333333335,,,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Logistic Map Series,lf-cpp,12,3,,,master,[],default,133.001,161.962,154.00549999999998,152.75483333333335,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
36,Fork Join (throughput),lf-cpp,12,6,60.0,,master,[],default,27.8077,30.5442,29.16455,29.12909166666667,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Radix Sort,lf-cpp,12,24,,,master,[],default,455.81,483.686,464.1165,465.959,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Filter Bank,lf-cpp,12,24,,,master,[],default,278.086,288.689,282.06899999999996,282.30383333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
39,Philosophers,lf-cpp,12,24,,,master,[],default,87.8104,104.412,90.7401,92.4332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
40,Cigarette Smokers,lf-cpp,12,3,,,master,[],default,9.16411,10.5024,9.34936,9.662856666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
41,Trapezoidal Approximation,lf-cpp,12,3,,,master,[],default,76.2138,85.7873,82.14435,82.11428333333335,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
42,Fork Join (throughput),lf-cpp,12,24,60.0,,master,[],default,28.3709,31.1678,29.67795,29.669008333333334,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Counting Actor,lf-cpp,12,24,,,master,[],default,378.812,394.723,383.7965,384.22808333333336,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Counting Actor,lf-cpp,12,3,,,master,[],default,319.101,332.604,321.726,323.2873333333334,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Precise Pi Computation,lf-cpp,12,6,,,master,[],default,136.293,150.225,143.526,144.03324999999998,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
46,Philosophers,lf-cpp,12,6,,,master,[],default,87.5463,96.6012,90.3438,90.70965833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
47,Ping Pong,lf-cpp,12,6,,300000.0,master,[],default,139.423,152.803,141.8055,142.93925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Counting Actor,lf-cpp,12,6,,,master,[],default,332.147,369.688,337.03999999999996,340.4016666666666,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Producer Consumer (bounded),lf-cpp,12,6,,,master,[],default,206.48,233.149,217.0805,217.36691666666664,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Radix Sort,lf-cpp,12,6,,,master,[],default,413.52,438.426,418.22400000000005,420.8034166666667,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NQueens first N solutions,lf-cpp,12,6,,,master,[],default,396.884,446.208,415.31,418.97724999999997,,,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
52,Philosophers,lf-cpp,12,3,,,master,[],default,178.777,240.986,219.332,215.10308333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
53,Big,lf-cpp,12,3,120.0,,master,[],default,204.332,228.571,214.4015,215.8846666666667,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Bank Transaction,lf-cpp,12,3,,,master,[],default,175.251,202.505,180.10649999999998,181.93191666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
55,Concurrent Dictionary,lf-cpp,12,3,,,master,[],default,145.912,168.379,157.312,157.679,,,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,NQueens first N solutions,lf-cpp,12,3,,,master,[],default,353.855,404.493,369.202,372.2538333333334,,,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
57,Concurrent Dictionary,lf-cpp,12,24,,,master,[],default,92.4456,102.388,96.2443,97.18075,,,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,All-Pairs Shortest Path,lf-cpp,12,6,,,master,[],default,398.21,435.502,414.952,415.8283333333333,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
59,Precise Pi Computation,lf-cpp,12,3,,,master,[],default,93.1341,101.313,96.90225,96.76059166666666,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
60,Logistic Map Series,lf-cpp,12,24,,,master,[],default,65.0082,69.2375,67.2695,67.20680833333333,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
61,Recursive Matrix Multiplication,lf-cpp,12,24,,,master,[],default,76.0702,83.3568,78.7137,79.03261666666667,,,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
62,Sleeping Barber,lf-cpp,12,3,,,master,[],default,186.357,203.832,193.0005,193.32991666666666,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
63,Concurrent Dictionary,lf-cpp,12,6,,,master,[],default,88.6526,97.0789,91.11064999999999,91.83464166666666,,,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Big,lf-cpp,12,6,120.0,,master,[],default,254.971,272.839,264.4715,264.0896666666667,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Bank Transaction,lf-cpp,12,6,,,master,[],default,181.89,201.014,191.2495,192.1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
